NAME                     VERSION                                  TYPE   
Deprecated               1.2.13                                   python  
Django                   3.2.12                                   python  
Flask                    2.2.2                                    python  
Jinja2                   3.1.2                                    python  
MarkupSafe               2.1.1                                    python  
PyMySQL                  1.0.2                                    python  
PySocks                  1.7.1                                    python  
PyYAML                   5.4.1                                    python  
Werkzeug                 2.2.2                                    python  
acme                     2.0.0                                    python  
adduser                  3.118ubuntu5                             deb     
apache2                  2.4.52-1ubuntu4.2                        deb     
apache2-bin              2.4.52-1ubuntu4.2                        deb     
apache2-data             2.4.52-1ubuntu4.2                        deb     
apache2-utils            2.4.52-1ubuntu4.2                        deb     
apt                      2.4.8                                    deb     
asgiref                  3.5.0                                    python  
base-files               12ubuntu4.2                              deb     
base-passwd              3.5.52build1                             deb     
bash                     5.1-6ubuntu1                             deb     
bsdutils                 1:2.37.2-4ubuntu3                        deb     
ca-certificates          20211016ubuntu0.22.04.1                  deb     
certifi                  2022.9.24                                python  
certsrv                  2.1.1                                    python  
cffi                     1.15.1                                   python  
chardet                  5.1.0                                    python  
charset-normalizer       2.1.1                                    python  
click                    8.1.3                                    python  
configparser             5.3.0                                    python  
coreutils                8.32-4.1ubuntu1                          deb     
cryptography             38.0.4                                   python  
curl                     7.81.0-1ubuntu1.6                        deb     
dash                     0.5.11+git20210903+057cd650a4ed-3build1  deb     
debconf                  1.5.79ubuntu1                            deb     
debianutils              5.5-1ubuntu2                             deb     
diffutils                1:3.8-0ubuntu2                           deb     
django-rename-app        0.1.3                                    python  
dnspython                2.2.1                                    python  
dpkg                     1.21.1ubuntu2.1                          deb     
e2fsprogs                1.46.5-2ubuntu1.1                        deb     
findutils                4.8.0-1ubuntu3                           deb     
future                   0.18.2                                   python  
gcc-12-base              12.1.0-2ubuntu1~22.04                    deb     
gpgv                     2.2.27-3ubuntu2.1                        deb     
grep                     3.7-1build1                              deb     
gzip                     1.10-4ubuntu4.1                          deb     
hostname                 3.23ubuntu2                              deb     
idna                     3.4                                      python  
impacket                 0.10.0                                   python  
init-system-helpers      1.62                                     deb     
itsdangerous             2.1.2                                    python  
josepy                   1.13.0                                   python  
jwcrypto                 1.4.2                                    python  
ldap3                    2.9.1                                    python  
ldapdomaindump           0.9.3                                    python  
libacl1                  2.3.1-1                                  deb     
libapache2-mod-wsgi-py3  4.9.0-1ubuntu0.1                         deb     
libapr1                  1.7.0-8build1                            deb     
libaprutil1              1.6.1-5ubuntu4                           deb     
libaprutil1-dbd-sqlite3  1.6.1-5ubuntu4                           deb     
libaprutil1-ldap         1.6.1-5ubuntu4                           deb     
libapt-pkg6.0            2.4.8                                    deb     
libattr1                 1:2.5.1-1build1                          deb     
libaudit-common          1:3.0.7-1build1                          deb     
libaudit1                1:3.0.7-1build1                          deb     
libblkid1                2.37.2-4ubuntu3                          deb     
libbrotli1               1.0.9-2build6                            deb     
libbz2-1.0               1.0.8-5build1                            deb     
libc-bin                 2.35-0ubuntu3.1                          deb     
libc6                    2.35-0ubuntu3.1                          deb     
libcap-ng0               0.7.9-2.2build3                          deb     
libcap2                  1:2.44-1build3                           deb     
libcom-err2              1.46.5-2ubuntu1.1                        deb     
libcrypt1                1:4.4.27-1                               deb     
libcurl4                 7.81.0-1ubuntu1.6                        deb     
libdb5.3                 5.3.28+dfsg1-0.8ubuntu3                  deb     
libdebconfclient0        0.261ubuntu1                             deb     
libexpat1                2.4.7-1ubuntu0.2                         deb     
libext2fs2               1.46.5-2ubuntu1.1                        deb     
libffi8                  3.4.2-4                                  deb     
libgcc-s1                12.1.0-2ubuntu1~22.04                    deb     
libgcrypt20              1.9.4-3ubuntu3                           deb     
libgdbm-compat4          1.23-1                                   deb     
libgdbm6                 1.23-1                                   deb     
libgmp10                 2:6.2.1+dfsg-3ubuntu1                    deb     
libgnutls30              3.7.3-4ubuntu1.1                         deb     
libgpg-error0            1.43-3                                   deb     
libgssapi-krb5-2         1.19.2-2                                 deb     
libhogweed6              3.7.3-1build2                            deb     
libicu70                 70.1-2                                   deb     
libidn2-0                2.3.2-2build1                            deb     
libjansson4              2.13.1-1.1build3                         deb     
libk5crypto3             1.19.2-2                                 deb     
libkeyutils1             1.6.1-2ubuntu3                           deb     
libkrb5-3                1.19.2-2                                 deb     
libkrb5support0          1.19.2-2                                 deb     
libldap-2.5-0            2.5.13+dfsg-0ubuntu0.22.04.1             deb     
liblua5.3-0              5.3.6-1build1                            deb     
liblz4-1                 1.9.3-2build2                            deb     
liblzma5                 5.2.5-2ubuntu1                           deb     
