NAME                     VERSION                                  TYPE   
Deprecated               1.2.14                                   python  
Flask                    3.0.2                                    python  
Jinja2                   3.1.3                                    python  
MarkupSafe               2.1.5                                    python  
PySocks                  1.7.1                                    python  
Werkzeug                 3.0.1                                    python  
acme                     2.8.0                                    python  
adduser                  3.118ubuntu5                             deb     
apache2                  2.4.52-1ubuntu4.7                        deb     
apache2-bin              2.4.52-1ubuntu4.7                        deb     
apache2-data             2.4.52-1ubuntu4.7                        deb     
apache2-utils            2.4.52-1ubuntu4.7                        deb     
apt                      2.4.11                                   deb     
base-files               12ubuntu4.4                              deb     
base-passwd              3.5.52build1                             deb     
bash                     5.1-6ubuntu1                             deb     
bash                     5.1.16                                   binary  
blinker                  1.7.0                                    python  
bsdutils                 1:2.37.2-4ubuntu3                        deb     
ca-certificates          20230311ubuntu0.22.04.1                  deb     
certifi                  2024.2.2                                 python  
certsrv                  2.1.1                                    python  
cffi                     1.16.0                                   python  
charset-normalizer       3.3.2                                    python  
click                    8.1.7                                    python  
configparser             6.0.0                                    python  
coreutils                8.32-4.1ubuntu1                          deb     
cryptography             42.0.2                                   python  
curl                     7.81.0-1ubuntu1.15                       deb     
dash                     0.5.11+git20210903+057cd650a4ed-3build1  deb     
debconf                  1.5.79ubuntu1                            deb     
debianutils              5.5-1ubuntu2                             deb     
diffutils                1:3.8-0ubuntu2                           deb     
dnspython                2.5.0                                    python  
dpkg                     1.21.1ubuntu2.2                          deb     
dsinternals              1.2.4                                    python  
e2fsprogs                1.46.5-2ubuntu1.1                        deb     
findutils                4.8.0-1ubuntu3                           deb     
future                   0.18.3                                   python  
gcc-12-base              12.3.0-1ubuntu1~22.04                    deb     
gpgv                     2.2.27-3ubuntu2.1                        deb     
grep                     3.7-1build1                              deb     
gzip                     1.10-4ubuntu4.1                          deb     
hostname                 3.23ubuntu2                              deb     
idna                     3.6                                      python  
impacket                 0.11.0                                   python  
init-system-helpers      1.62                                     deb     
itsdangerous             2.1.2                                    python  
josepy                   1.14.0                                   python  
jwcrypto                 1.5.1                                    python  
ldap3                    2.9.1                                    python  
ldapdomaindump           0.9.4                                    python  
libacl1                  2.3.1-1                                  deb     
libapache2-mod-wsgi-py3  4.9.0-1ubuntu0.1                         deb     
libapr1                  1.7.0-8ubuntu0.22.04.1                   deb     
libaprutil1              1.6.1-5ubuntu4.22.04.2                   deb     
libaprutil1-dbd-sqlite3  1.6.1-5ubuntu4.22.04.2                   deb     
libaprutil1-ldap         1.6.1-5ubuntu4.22.04.2                   deb     
libapt-pkg6.0            2.4.11                                   deb     
libattr1                 1:2.5.1-1build1                          deb     
libaudit-common          1:3.0.7-1build1                          deb     
libaudit1                1:3.0.7-1build1                          deb     
libblkid1                2.37.2-4ubuntu3                          deb     
libbrotli1               1.0.9-2build6                            deb     
libbz2-1.0               1.0.8-5build1                            deb     
libc-bin                 2.35-0ubuntu3.6                          deb     
libc6                    2.35-0ubuntu3.6                          deb     
libcap-ng0               0.7.9-2.2build3                          deb     
libcap2                  1:2.44-1ubuntu0.22.04.1                  deb     
libcom-err2              1.46.5-2ubuntu1.1                        deb     
libcrypt1                1:4.4.27-1                               deb     
libcurl4                 7.81.0-1ubuntu1.15                       deb     
libdb5.3                 5.3.28+dfsg1-0.8ubuntu3                  deb     
libdebconfclient0        0.261ubuntu1                             deb     
libexpat1                2.4.7-1ubuntu0.2                         deb     
libext2fs2               1.46.5-2ubuntu1.1                        deb     
libffi8                  3.4.2-4                                  deb     
libgcc-s1                12.3.0-1ubuntu1~22.04                    deb     
libgcrypt20              1.9.4-3ubuntu3                           deb     
libgdbm-compat4          1.23-1                                   deb     
libgdbm6                 1.23-1                                   deb     
libgmp10                 2:6.2.1+dfsg-3ubuntu1                    deb     
libgnutls30              3.7.3-4ubuntu1.3                         deb     
