NAME                           VERSION                                TYPE                       
acme                           4.0.0                                  python                     
acme2certifier                 0.43.1-1                               deb                        
apt                            3.2.0                                  deb                        
asgiref                        3.11.0                                 python                     
autocommand                    2.2.2                                  python     (+1 duplicate)  
backports-tarfile              1.2.0                                  python                     
base-files                     14ubuntu6.1                            deb                        
base-passwd                    3.6.8                                  deb                        
bash                           5.3-2ubuntu1                           deb                        
bcrypt                         5.0.0                                  python                     
blinker                        1.9.0                                  python                     
bsdutils                       1:2.41.3-3ubuntu2                      deb                        
ca-certificates                20260601~26.04.1                       deb                        
certifi                        2026.1.4                               python                     
chardet                        5.2.0                                  python                     
charset-normalizer             3.4.4                                  python                     
click                          8.1.8                                  python                     
configargparse                 1.7                                    python                     
coreutils                      9.5-1ubuntu2+0.0.0~ubuntu25            deb                        
coreutils-from-uutils          0.0.0~ubuntu25                         deb                        
cryptography                   46.0.5                                 python                     
curl                           8.18.0-1ubuntu2.2                      deb                        
dash                           0.5.12-12ubuntu3                       deb                        
debconf                        1.5.92                                 deb                        
debianutils                    5.23.2build1                           deb                        
decorator                      5.2.1                                  python                     
deprecated                     1.3.1                                  python                     
diffutils                      1:3.12-1                               deb                        
django                         5.2.9                                  python                     
dnspython                      2.8.0                                  python                     
dpkg                           1.23.7ubuntu1                          deb                        
e2fsprogs                      1.47.2-3ubuntu4                        deb                        
findutils                      4.10.0-3build2                         deb                        
flask                          3.1.3                                  python                     
gcc-16-base                    16-20260322-1ubuntu1                   deb                        
github.com/GehirnInc/crypt     v0.0.0-20230320061759-8cc1b52080c5     go-module                  
github.com/canonical/go-flags  v0.0.0-20230403090104-105d09a091b8     go-module                  
github.com/canonical/pebble    v1.31.1-0.20260528050051-33f10658d3fd  go-module                  
github.com/canonical/x-go      v0.0.0-20230522092633-7947a7587f5b     go-module                  
github.com/gorilla/mux         v1.8.1                                 go-module                  
github.com/gorilla/websocket   v1.5.1                                 go-module                  
github.com/pkg/term            v1.1.0                                 go-module                  
gnu-coreutils                  9.7-3ubuntu2                           deb                        
golang.org/x/net               v0.40.0                                go-module                  
golang.org/x/sys               v0.33.0                                go-module                  
golang.org/x/term              v0.32.0                                go-module                  
gopkg.in/tomb.v2               v2.0.0-20161208151619-d5d1b5820637     go-module                  
gopkg.in/yaml.v2               v2.4.0                                 go-module                  
gopkg.in/yaml.v3               v3.0.1                                 go-module                  
gpgv                           2.4.8-4ubuntu3                         deb                        
grep                           3.12-1                                 deb                        
gssapi                         1.10.1                                 python                     
gzip                           1.14-1~exp2ubuntu1                     deb                        
hostname                       3.25build1                             deb                        
idna                           3.11                                   python                     
impacket                       0.13.0.dev0                            python                     
importlib-metadata             8.0.0                                  python                     
inflect                        7.3.1                                  python                     
inflect                        7.5.0                                  python                     
init-system-helpers            1.69                                   deb                        
itsdangerous                   2.2.0                                  python                     
jaraco-collections             5.1.0                                  python                     
jaraco-context                 5.3.0                                  python                     
jaraco-context                 6.0.1                                  python                     
jaraco-functools               4.0.1                                  python                     
jaraco-functools               4.1.0                                  python                     
jaraco-text                    3.12.1                                 python                     
jaraco-text                    4.0.0                                  python                     
jinja2                         3.1.6                                  python                     
josepy                         2.2.0                                  python                     
jwcrypto                       1.5.6                                  python                     
krb5-user                      1.22.1-2ubuntu4                        deb                        
ldap3                          2.9.1                                  python                     
ldapdomaindump                 0.9.4                                  python                     
libacl1                        2.3.2-2                                deb                        
libapt-pkg7.0                  3.2.0                                  deb                        
libattr1                       1:2.5.2-4                              deb                        
libaudit-common                1:4.1.2-1build1                        deb                        
libaudit1                      1:4.1.2-1build1                        deb                        
libblkid1                      2.41.3-3ubuntu2                        deb                        
libbrotli1                     1.2.0-3build1                          deb                        
libbsd0                        0.12.2-2build2                         deb                        
libbz2-1.0                     1.0.8-6build2                          deb                        
libc-bin                       2.43-2ubuntu2                          deb                        
libc-gconv-modules-extra       2.43-2ubuntu2                          deb                        
libc6                          2.43-2ubuntu2                          deb                        
libcap-ng0                     0.8.5-4build5                          deb                        
libcap2                        1:2.75-10ubuntu2                       deb                        
libcom-err2                    1.47.2-3ubuntu4                        deb                        
libcrypt1                      1:4.5.1-1                              deb                        
libcurl4t64                    8.18.0-1ubuntu2.2                      deb                        
libdb5.3t64                    5.3.28+dfsg2-10ubuntu1                 deb                        
libdebconfclient0              0.280ubuntu1                           deb                        
libexpat1                      2.7.4-1                                deb                        
libext2fs2t64                  1.47.2-3ubuntu4                        deb                        
libffi8                        3.5.2-4                                deb                        
libgcc-s1                      16-20260322-1ubuntu1                   deb                        
libgcrypt20                    1.12.0-2ubuntu0.1                      deb                        
libgmp10                       2:6.3.0+dfsg-5ubuntu2                  deb                        
